Custom Module ID	Vitamin	Reactions	KOs	Genes	KEGG module	KEGG Pathway Map	Notes	Custom Module Full Definition
B01_00	Thiamine (B1)	[ThiS]-COOH => [ThiS]-CO-AMP	K03148+K03154	thiF+thiS	M00127/M00895	map00730/map04122		"K03148+K03154 K03151 K03150,K03153 K03149 K10810 K03147 (((K00941,K00877) (K00788,K21220,K14154)),K14153,K21219) K00946"
		[ThiS]-CO-AMP => [ThiS]-COSH	K03151	thiI	M00127/M00895	map00730		
		tyrosine or glycine => iminoglycine	"K03150,K03153"	"thiH,thiO"	M00127/M00895	map00730	"K03150 comes from M00127, K03153 comes from M00895"	
		"iminoglycine + [ThiS]-COSH + 1-Deoxy-D-xylulose 5-phosphate => 2-[(2R,5Z)-2-Carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate"	K03149	thiG	M00127/M00895	map00730		
		"2-[(2R,5Z)-2-Carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate => 2-(2-Carboxy-4-methylthiazol-5-yl)ethyl phosphate"	K10810	tenI	M00895	map00730	this enzyme is not in M00127 definition but shows up on the pathway map	
		AIR => HMP-P	K03147	thiC	M00127/M00895	map00730		
		HMP-P => HMP-PP + 2-(2-Carboxy-4-methylthiazol-5-yl)ethyl phosphate => thiamine phosphate	"(((K00941,K00877) (K00788,K21220,K14154)),K14153,K21219)"	"(thiD,THI20) (thiE,thiN,THI6), thiDE, thiDN"	M00127/M00895	map00730	M00895 includes only the first option (K00941 and K00788)	"we also include K00877 (THI20) for the first step (EC 2.7.4.7,R04509) and K21220 (thiN),K14154 (THI6) for the second step (EC 2.5.1.3, R10712)"
		thiamine phosphate => thiamine diphospate	K00946	thiL	M00127/M00895	map00730		
								
B02_00	Riboflavin (B2)	"GTP => 2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one"	"(K01497,K14652)"	"ribA, ribBA"	M00125	map00740	exactly the same as M00125	"(K01497,K14652) (K01498 K00082,K11752) (K22912,K20860,K20861,K20862,K21063,K21064) (K02858,K14652) K00794 K00793 (K20884 K22949,K11753)"
		"2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one => 5-Amino-6-(5'-phosphoribosylamino)uracil => 5-Amino-6-(5'-phospho-D-ribitylamino)uracil"	"(K01498 K00082,K11752)"	"ribD1, ribD2, ribD"	M00125	map00740	"M00911 has an alternative branch for this step, but it seems to be a fungal pathway so we don't include it here"	
